"winery_key","display_name","region","country","description","source_url","status"
"roederer estate","Roederer Estate","Anderson Valley, CA","USA","Founded in 1982 as the California outpost of Champagne Louis Roederer, Roederer Estate sits in the cool, fog-shrouded Anderson Valley of Mendocino County. It produces estate-bottled methode-traditionnelle sparkling wine exclusively from its own Chardonnay and Pinot Noir, with oak-aged reserve wines blended into each cuvee for depth. As the California arm of one of Champagne's great houses, it is regarded as one of the top sparkling producers in the United States.","https://en.wikipedia.org/wiki/Roederer_Estate","verified"
"josep masachs","Josep Masachs ""Mas Fi""","Penedes","Spain","The Masachs family has grown grapes in Vilafranca del Penedes since 1920, when great-grandfather Josep Masachs Llorach, one of the area's pioneers, made wine for family and friends. The family produced its first labeled cava by the traditional method in 1950. Now in its fourth generation and past its centenary, it remains an essentially family-run winery working native varieties with an environmentally minded approach. (Mas Fi is the bottling; Josep Masachs is the house.)","https://www.josepmasachs.com/en/history/","verified"
"contadi castaldi","Contadi Castaldi","Franciacorta","Italy","Founded in 1987 when Vittorio Moretti converted the historic Biasca brick-kiln near Adro into a winery, Contadi Castaldi is one of the leading sparkling producers of Franciacorta, Italy's benchmark traditional-method region in Lombardy. Its name recalls the area's medieval past, when the ""contadi"" were small counties prized for their farming and the ""castaldi"" were the lords who governed them. The kiln's long arched tunnels are ideal for aging the wines on the lees.","https://www.mtouton.com/producers/contadi-castaldi","verified"
"zardetto","Zardetto","Conegliano Valdobbiadene, Veneto","Italy","A Conegliano family with roots in the Veneto going back generations, Zardetto became a formal company in 1969 under Pino Zardetto, who helped carry Prosecco di Conegliano around the world. In 1984 the house was among the first to export Prosecco to the United States. Now led by the fourth generation, Fabio Zardetto, it farms the steep Conegliano Valdobbiadene hills with a strong focus on quality and modern winemaking.","https://rogcowines.com/winery/zardetto/","verified"
"le grand courtage","Le Grand Courtage","Burgundy","France","Founded by American Tawnya Falkner, who left a San Francisco career and moved to Nuits-Saint-Georges in Burgundy to create an affordable French sparkling wine. The name, meaning ""the great courtship,"" reflects the blending of French and American sensibilities and of grapes from different terroirs. The Blanc de Blancs blends Chardonnay, Chenin Blanc, Colombard, and Ugni Blanc into a light, delicately bubbled, cuisine-friendly style. NOTE: menu prints this as ""La Grande Courtage""; correct brand is Le Grand Courtage.","https://www.wine.com/product/le-grand-courtage-blanc-de-blancs-brut/137803","verified"
"lyre's","Lyre's","Victoria","Australia","Lyre's was one of the first Australian brands to create non-alcoholic spirits, launching in 2019 to recreate the world's most iconic drinks without the alcohol, and is now sold in more than 60 countries as a leader in the zero-proof category. Its Classico is crafted to capture the character of a sparkling aperitif. It is vegan and gluten-free and contains less than 0.5% ABV.","https://beclink.com/product/lyres-classico-non-alcoholic-spirit-alternative-750ml/","verified"
"squealing pig","Squealing Pig","Sonoma, CA (brand origin NZ/Australia)","USA","Squealing Pig is a playful brand rooted in the wine regions of New Zealand and Australia, drawing on the terroir of Marlborough, Central Otago, and South Australia, and is especially celebrated for a rosE vinified from Pinot Noir. The bottling on this list is vinted and bottled in Sonoma, California. The brand is owned by Treasury Wine Estates.","https://www.skurnik.com/producer/sean-minor-wines/","verified"
"chateau de campuget","Chateau de Campuget","Costieres de Nimes","France","Established in 1942, Chateau de Campuget is a quality estate near Nimes, with a chateau built in 1753 (the source of its ""1753"" range). Now run by Franck-Lin Dalle, the third generation of his family, it sits about 15 km south of Nimes in the heart of the Costieres de Nimes appellation, on soils of ""gress,"" rounded pebbles rolled by the ancient Rhone. Its identity rests on the Rhone stones, the southern sun, the Mistral, and Syrah and Grenache. Certified Haute Valeur Environnementale in 2019.","https://www.binnysfoodandtravel.com/2022/05/24/wine-history-incredible-food-a-guide-to-costieres-de-nimes/","verified"
"anjos","Anjos de Portugal","Vinho Verde, Minho","Portugal","Anjos de Portugal is made by Quinta da Lixa, a family-owned property in the Minho region of Vinho Verde, using the traditional varieties Trajadura, Arinto, and Loureiro to make an aromatic, dry white. The Meireles family, longtime vineyard owners in the town of Lixa, set up the winery in 1986.","https://oakhamwinesonline.co.uk/product/vinho-verde-anjos-de-portugal/","verified"
"sean minor","Sean Minor","Sonoma, CA","USA","Sean Minor Wines was founded in 2005 by Sean and Nicole Minor, a family-owned operation making high-quality, affordable wines true to their varietal and terroir. A negociant who owns no vineyards, Sean Minor sources fruit through long-term relationships with top growers across California and Oregon. It was originally named Four Bears Winery after the couple's four children.","https://www.skurnik.com/producer/sean-minor-wines/","verified"
"tiefenbrunner","Tiefenbrunner","Alto Adige","Italy","Founded in 1848, the Tiefenbrunner Castel Turmhof winery takes its name from the ancient castle that is home to the Tiefenbrunner family, in the hamlet of Entiklar in South Tyrol's Alps. Its vineyards climb the mountain slopes along the South Tyrol Wine Route, where large day-to-night temperature swings preserve acidity, giving the Pinot Grigio a lively, herb-tinged edge. Now run by the fifth generation, it is known for fresh, high-altitude mountain whites.","https://theliquorbarn.com/products/tiefenbrunner-pinot-grigio","verified"
"de loach","De Loach","Russian River Valley, Sonoma, CA","USA","De Loach was founded in 1975 by Cecil and Christine De Loach, one of the first wineries established in the Russian River Valley after Prohibition and an early champion of the appellation. Since 2003 it has been owned by the Burgundian Boisset family, who saw a kinship between the Russian River Valley and Burgundy and converted the estate vineyard to biodynamic farming. The house is known for Pinot Noir, Chardonnay, and Zinfandel.","https://en.wikipedia.org/wiki/DeLoach_Vineyards","verified"
"nacina","Nacina","Santa Lucia Highlands, Monterey, CA","USA","Nacina is a label of Tudor Wines in California's Santa Lucia Highlands, sourcing its Riesling from the Tondre Grapefield in the center of the appellation. Made in a German-inspired off-dry style, low-temperature stainless-fermented, it shows ripe citrus, pear, and white plum with a vibrant, mineral finish. The cool maritime winds funneled through the Salinas Valley give Santa Lucia Highlands whites their bright acidity and subtle texture.","https://risingstarwine.com/portfolio-item/nacina/","verified"
"pine ridge","Pine Ridge","Stags Leap District, Napa, CA","USA","Founded in 1978 by Gary and Nancy Andrus in the heart of Napa Valley's Stags Leap District, Pine Ridge Vineyards built its name on Cabernet Sauvignon and now farms estate vineyards across five Napa appellations. Its signature Chenin Blanc + Viognier began as an experimental blend more than twenty-five years ago and has become one of its most beloved wines, fresh, aromatic, and versatile.","https://en.wikipedia.org/wiki/Pine_Ridge_Vineyards","verified"
"m. chapoutier","M. Chapoutier","Rhone Valley (Tain l'Hermitage)","France","The Chapoutier name has been tied to the Rhone Valley since 1808, based in Tain l'Hermitage at the foot of the Hermitage hill. The house was transformed when Michel Chapoutier took the helm in 1990 and, from 1991, made biodynamic farming central to its philosophy; it is also known for pioneering braille on its wine labels. Today it is the largest vineyard owner in Hermitage. Belleruche is its widely loved Cotes du Rhone range.","https://www.chapoutier.com/en/the-maison/history/","verified"
"bernardus","Bernardus","Carmel Valley, Monterey, CA","USA","Founded in 1990 by Dutch entrepreneur and former Porsche racer Bernardus ""Ben"" Pon, Bernardus Winery chose Carmel Valley for its hot days and cool nights. Pon realized his dream with the estate Bordeaux blend Marinus (named for his middle name) and a portfolio of single-vineyard Pinot Noir, Chardonnay, and Sauvignon Blanc. He opened the first tasting room in Carmel Valley Village, inspiring the two dozen that followed.","https://www.bernardus.com/the-story/","verified"
"seghesio","Seghesio Family Vineyards","Alexander Valley, Sonoma, CA","USA","Seghesio Family Vineyards was established in 1895 when Italian immigrant Edoardo Seghesio, who had left Piedmont in 1886, planted his first Zinfandel vineyard at the Home Ranch in Sonoma County's Alexander Valley. Across five generations and more than 125 vintages the family name has become synonymous with benchmark Zinfandel and Italian varietals, farming over 300 acres including old-vine, head-trained plantings worked by hand.","https://www.seghesio.com/","verified"
