wine_key,display_name,producer_key,group,varietal,region,vintage,format,is_red,body,sweetness,acidity,fourth,tasting_note,note_es,source_url,status
roederer estate brut,Roederer Estate Brut,roederer estate,sparkling,,"Anderson Valley, CA",,375 ml,FALSE,3,1,4,2,"The California estate of Champagne Louis Roederer, a Chardonnay-led brut with 10 to 15% oak-aged reserve wine for depth. Citrus, green apple, and fresh-baked bread ride a fine, persistent mousse to a dry, mineral finish.",,https://roedererestate.com/product/roederer-estate-brut-mv/,sourced
"josep masachs ""mas fi"" cava brut","Josep Masachs ""Mas Fi"" Cava Brut",josep masachs,sparkling,,Spain,,,FALSE,2,1,4,1,"Traditional-method Penedès cava from Xarel·lo, Macabeo, and Parellada, aged ten months on the lees. White flowers and citrus give way to pear, stone fruit, and a creamy, lightly toasty palate that finishes crisp and dry.",,https://www.winesellersltd.com/wine_asset/mas-fi-brut-cava/,sourced
contadi castaldi brut rosé,Contadi Castaldi Brut Rosé,contadi castaldi,sparkling,,"Franciacorta, Italy",,375 ml,FALSE,3,1,4,2,"A modern Franciacorta rosé of Chardonnay and Pinot Nero, part-aged in barrique for depth. Wild strawberry, rose petal, and orchard fruit lead a structured, crisp palate with a saline, almond-tinged finish.",,https://www.wine.com/product/contadi-castaldi-franciacorta-rose/591016,sourced
zardetto prosecco rosé extra dry,Zardetto Prosecco Rosé Extra Dry,zardetto,sparkling,,Italy,,,FALSE,2,2,4,1,"Glera with a splash of Pinot Noir in the Prosecco style, pale pink and fragrant. Golden apple, white peach, and small red berries ride lively bubbles, with an exuberant, faintly off-dry palate and refreshing acidity.",,https://usa.zardettoprosecco.com/wines/prosecco-rose-extra-dry/,sourced
le grand courtage blanc de blancs,Le Grand Courtage Blanc de Blancs,le grand courtage,sparkling,,France,,,FALSE,2,2,4,1,"A French sparkler blending Chardonnay, Chenin Blanc, Colombard, and Ugni Blanc into delicate bubbles. Green apple, honeysuckle, and toasted brioche meet a touch of Meyer lemon, balancing crisp acidity against a gentle hint of sweetness.",,https://legrandcourtage.com/shop/le-grand-courtage-blanc-de-blancs-brut-750ml/,sourced
lyre's classico,Lyre's Classico,lyre's,sparkling,,"0% Sparkling, Australia",,,FALSE,2,2,4,1,"A non-alcoholic sparkler in the Italian style, crafted to drink like the real thing. Fresh green apple, pear, and peach with a lift of lime and fine, chalky acidity, finishing clean, dry, and refreshing.",,https://lyres.com/products/classico-grande,sourced
squealing pig rosé,Squealing Pig Rosé,squealing pig,white,,"Sonoma, CA",'23,,FALSE,2,1,4,1,"A pale, playful Pinot Noir rosé built for easy sipping. Strawberry, raspberry, and watermelon with a twist of citrus and a whisper of orange blossom, finishing crisp, dry, and refreshing.",,https://www.squealingpig.com/our-wines/rose,sourced
campuget tradition blanc,Campuget Tradition Blanc,chateau de campuget,white,Roussanne + Grenache Blanc + Marsanne,France,'24,,FALSE,3,1,3,1,"A southern French white from the stony Costières de Nîmes, blending Roussanne and Grenache Blanc with no oak. White flowers, apple, and white peach over bright citrus and a clean, mineral, food-friendly finish.",,https://boulderwine.com/product/chateau-de-campuget-tradition-blanc-costieres-de-nimes-2021/,sourced
anjos vinho verde,Anjos Vinho Verde,anjos,white,Arinto + Loureiro + Trajadura,Portugal,'23,,FALSE,2,2,4,1,"A light, modern Vinho Verde from Arinto, Trajadura, and Loureiro, steel-fermented for freshness. Green apple, grapefruit, and white peach with the style's faint spritz and a brisk, just-off-dry finish.",,https://www.wineenthusiast.com/buying-guide/quinta-da-lixa-2023-anjos-de-portugal-white-vinho-verde/,sourced
sean minor sauvignon blanc,Sean Minor Sauvignon Blanc,sean minor,white,,California,'23,,FALSE,2,1,4,1,"Mostly steel-fermented with a touch of neutral oak for texture. Ruby grapefruit, citrus, and a hint of fresh herbs lead to melon, fig, and lime on a crisp, mouthwatering, dry finish.",,https://www.skurnik.com/sku/sauvignon-blanc-4b-california-sean-minor-2-2-2-2-2/,sourced
tiefenbrunner pinot grigio,Tiefenbrunner Pinot Grigio,tiefenbrunner,white,,Italy,'24,,FALSE,3,1,4,1,"A high-altitude Alto Adige Pinot Grigio, steel-fermented and rested on its lees for texture. Pear, apple, citrus, and white blossom with fresh, chalky minerality, fuller and more structured than most.",,https://www.winebow.com/our-brands/tiefenbrunner/tiefenbrunner-pinot-grigio/2025,sourced
de loach chardonnay,De Loach Chardonnay,de loach,white,,"Sonoma, CA",'24,,FALSE,4,1,3,3,"A Burgundian-minded California Chardonnay, mostly steel with a small portion barrel-aged. Pear, lemon curd, and ripe orchard fruit framed by a whisper of vanilla, staying creamy yet bright and balanced.",,https://www.wine.com/product/deloach-heritage-reserve-chardonnay-2018/542513,sourced
nacina off-dry riesling,Nacina Off-Dry Riesling,nacina,white,,"Tondre Vineyard, Santa Lucia Highlands, Monterey, CA",'15,,FALSE,2,3,4,1,"An off-dry Santa Lucia Highlands Riesling from the Tondré Grapefield. Melon, honey, and ripe grapefruit with apricot and pear, the gentle sweetness held in check by fresh, lively acidity and a long finish.",,https://risingstarwine.com/portfolio-item/nacina/,sourced
